英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
Aviation Industry Corporation of China (AVIC),中国航空工业集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China Aerospace Science and Technology Corporation (CASC),中国航天科技集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China Aerospace Science and Industry Corporation (CASIC) ,中国航天科工集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China Electronics Technology Group Corporation ( CETC),中国电子科技集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China South Industries Group Corporation (CSGC),中国兵器装备集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China Shipbuilding Industry Corporation (CSIC),中国船舶重工集团有限公司,2020/06/24,1,1,601989,内地企业,CMCC
China State Shipbuilding Corporation (CSSC),中国船舶集团有限公司,2020/06/24,2,1,600150,内地企业,CMCC
China North Industries Group Corporation (Norinco Group),中国兵器工业集团有限公司,2020/06/24,2,0,,内地企业,CMCC
"Hangzhou Hikvision Digital Technology Co., Ltd. (Hikvision)",杭州海康威视数字技术股份有限公司,2020/06/24,1,2,002415,内地企业,CMCC
Huawei,华为技术有限公司,2020/06/24,2,0,,内地企业,CMCC
Inspur Group,浪潮集团有限公司,2020/06/24,2,1,000977,内地企业,CMCC
Aero Engine Corporation of China,中国航空发动机集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China Railway Construction Corporation (CRCC),中国铁道建筑集团有限公司,2020/06/24,2,0,,内地企业,CMCC
CRRC Corp.,中国中车集团有限公司,2020/06/24,2,1,601766,内地企业,CMCC
Panda Electronics Group,熊猫电子集团有限公司,2020/06/24,1,1,600775,内地企业,CMCC
Dawning Information Industry Co (Sugon),曙光信息产业股份有限公司,2020/06/24,1,2,603019,内地企业,CMCC
China Mobile Communications Group,中国移动通信集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China General Nuclear Power Corp.,中国广核集团有限公司,2020/06/24,2,1,003816,内地企业,CMCC
China National Nuclear Corp.,中国核工业集团有限公司,2020/06/24,2,0,,内地企业,CMCC
China Telecommunications Corp.,中国电信集团有限公司,2020/06/24,2,1,601728,内地企业,CMCC
China Communications Construction Company (CCCC),中国交通建设集团有限公司,2020/08/28,2,1,601800,内地企业,CMCC
China Academy of Launch Vehicle Technology (CALT),中国运载火箭技术研究院,2020/08/28,.,.,,研究所,CMCC
China Spacesat,中国东方红卫星股份有限公司,2020/08/28,1,2,600118,内地企业,CMCC
China United Network Communications Group Co Ltd,中国联合网络通信集团有限公司,2020/08/28,2,1,600050,内地企业,CMCC
China Electronics Corporation (CEC),中国电子信息产业集团有限公司,2020/08/28,2,0,,内地企业,CMCC
"China National Chemical Engineering Group Co., Ltd. (CNCEC)",中国化学工程集团有限公司,2020/08/28,2,0,,内地企业,CMCC
China National Chemical Corporation (ChemChina),中国化工集团有限公司,2020/08/28,1,0,,内地企业,CMCC
Sinochem Group Co Ltd,中国中化集团有限公司,2020/08/28,1,1,600500,内地企业,CMCC
"China State Construction Group Co., Ltd.",中国建筑集团有限公司,2020/08/28,2,1,601668,内地企业,CMCC
China Three Gorges Corporation Limited,中国长江三峡集团有限公司,2020/08/28,2,1,600900,内地企业,CMCC
hina Nuclear Engineering & Construction Corporation (CNECC),中国核工业建设股份有限公司,2020/08/28,1,2,601611,内地企业,CMCC
China International Engineering Consulting Corp. (CIECC),中国国际工程咨询有限公司,2020/12/03,2,0,,内地企业,CMCC
China National Offshore Oil Corp. (CNOOC),中国海洋石油集团有限公司,2020/12/03,2,1,600938,内地企业,CMCC
Semiconductor Manufacturing International Corp. (SMIC),中芯國際集成電路製造有限公司,2020/12/03,2,2,688981,港企,CMCC
"China Construction Technology Co, Ltd. (CCTC)",中国建设科技集团,2020/12/03,2,0,,内地企业,CMCC
Advanced Micro-Fabrication Equipment Inc.(AMEC),中微半导体设备（上海）股份有限公司,2021/01/14,2,2,688012,内地企业,CMCC
Luokung Technology Corporation(LKCO),北京箩筐时空数据技术有限公司,2021/01/14,2,0,,内地企业,CMCC
Xiaomi Corporation,小米科技有限责任公司,2021/01/14,2,0,,内地企业,CMCC
Beijing Zhongguancun Development Investment Center,北京中关村发展投资中心有限公司,2021/01/14,2,0,,内地企业,CMCC
GOWIN Semiconductor Corp,广东高云半导体科技股份有限公司,2021/01/14,1,0,,内地企业,CMCC
Grand China Air Co.Ltd(GCAC),大新华航空有限公司,2021/01/14,1,1,600221,内地企业,CMCC
Global Tone Communication Technology Co.Ltd(GTCOM),中译语通科技股份有限公司,2021/01/14,1,0,,内地企业,CMCC
China National Aviation Holding Co.Ltd(CNAH),中国航空集团有限公司,2021/01/14,2,0,,内地企业,CMCC
"Commercial Aircraft Corporation of China,Ltd.(COMAC)",中国商用飞机有限责任公司,2021/01/14,2,0,,内地企业,CMCC
