英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
Aerosun Corporation (Aerosun),航天晨光股份有限公司,2021/06/03,1,2,600501.0,内地企业,CMC
Aviation Industry Corporation of China Ltd. (AVIC),中国航空工业集团有限公司,2021/06/03,2,0,,内地企业,CMC
AVIC Aviation High-Technology Company Limited (AVIC Aviation Hi-Tech),中航航空高科技股份有限公司,2021/06/03,1,2,600862.0,内地企业,CMC
AVIC Heavy Machinery Company Limited (AVIC Heavy Machinery),中航重机股份有限公司,2021/06/03,1,2,600765.0,内地企业,CMC
"AVIC JONHON Optronic Technology Co., Ltd. (AVIC Jonhon)",中航光电科技股份有限公司,2021/06/03,1,2,2179.0,内地企业,CMC
AVIC Shenyang Aircraft Company Limited (AVIC Shenyang),中航沈飞股份有限公司,2021/06/03,1,2,600760.0,内地企业,CMC
AVIC Xi'an Aircraft Industry Group Company Ltd. (AVIC Xi'an),中航西安飞机工业集团股份有限公司,2021/06/03,1,2,768.0,内地企业,CMC
China Aerospace Science and Industry Corporation Limited (CASIC),中国航天科工集团有限公司,2021/06/03,2,0,,内地企业,CMC
China Communications Construction Company Limited (CCCC),中国交通建设股份有限公司,2021/06/03,1,2,601800.0,内地企业,CMC
China Communications Construction Group (Limited) (CCCG),中国交通建设集团有限公司,2021/06/03,2,1,601800.0,内地企业,CMC
China Electronics Corporation (CEC),中国电子信息产业集团有限公司,2021/06/03,2,0,,内地企业,CMC
China Electronics Technology Group Corporation (CETC),中国电子科技集团有限公司,2021/06/03,2,0,,内地企业,CMC
China General Nuclear Power Corporation (CGN),中国广核集团有限公司,2021/06/03,2,1,3816.0,内地企业,CMC
"China Mobile Communications Group Co., Ltd. (China Mobile Comm)",中国移动通信集团有限公司,2021/06/03,2,0,,内地企业,CMC
China Mobile Limited (China Mobile),中國移動有限公司,2021/06/03,.,.,,港企,CMC
China National Nuclear Corporation (CNNC),中国核工业集团有限公司,2021/06/03,2,1,601985.0,内地企业,CMC
China National Offshore Oil Corporation (CNOOC),中国海洋石油集团有限公司,2021/06/03,2,1,600938.0,内地企业,CMC
China North Industries Group Corporation Limited (Norinco Group),中国北方工业有限公司,2021/06/03,1,0,,内地企业,CMC
China South Industries Group Corporation (CSGC),中国兵器装备集团有限公司,2021/06/03,2,0,,内地企业,CMC
"China SpaceSat Co., Ltd. (China SpaceSat)",中国东方红卫星股份有限公司,2021/06/03,2,2,600118.0,内地企业,CMC
China State Shipbuilding Corporation Limited (CSSC),中国船舶集团有限公司,2021/06/03,2,1,600764.0,内地企业,CMC
China Telecom Corporation Limited,中國電信股份有限公司,2021/06/03,.,.,,港企,CMC
"China Unicom Group (BVI) Co., Ltd",中國聯合網絡通信（香港）股份有限公司,2021/06/03,.,.,,港企,CMC
"China United Network Communications Co., Ltd",中国联合网络通信集团有限公司,2021/06/03,2,1,600050.0,内地企业,CMC
"Costar Group Co., Ltd. (Costar)",中光学集团股份有限公司,2021/06/03,1,2,2189.0,内地企业,CMC
"Hangzhou Hikvision Digital Technology Co., Ltd. (Hikvision)",杭州海康威视数字技术股份有限公司,2021/06/03,1,2,2415.0,内地企业,CMC
"Huawei Investment & Holding Co., Ltd. (Huawei Holding)",华为投资控股有限公司,2021/06/03,2,0,,内地企业,CMC
"Huawei Technologies Co., Ltd. (Huawei)",华为技术有限公司,2021/06/03,1,0,,内地企业,CMC
"Inner Mongolia First Machinery Group Co., Ltd. (Inner Mongolia)",内蒙古第一机械集团有限公司,2021/06/03,1,1,600967.0,内地企业,CMC
"Inspur Group Co., Ltd. (Inspur)",浪潮集团有限公司,2021/06/03,2,1,977.0,内地企业,CMC
"Jiangxi Hongdu Aviation Industry Co., Ltd. (Hongdu Aviation)",江西洪都航空工业股份有限公司,2021/06/03,1,2,600316.0,内地企业,CMC
Semiconductor Manufacturing International (Shenzhen) Corporation (SMIC Shenzhen),中芯国际集成电路制造（天津）有限公司,2021/06/03,1,1,688981.0,内地企业,CMC
Semiconductor Manufacturing International Corporation (SMIC),中芯國際集成電路製造有限公司,2021/06/03,.,.,,港企,CMC
Semiconductor Manufacturing South China Corporation (SMIC South China),中芯南方集成电路制造有限公司,2021/06/03,1,1,688981.0,内地企业,CMC
SMIC Holdings Limited (SMIC Holdings),中芯国际控股有限公司,2021/06/03,1,1,688981.0,内地企业,CMC
"SMIC Semiconductor Manufacturing (Shanghai) Co., Ltd (SMIC Shanghai)",中芯国际集成电路制造（上海）有限公司,2021/06/03,1,1,688981.0,内地企业,CMC
Zhonghang Electronic Measuring Instruments Company Limited (ZEMIC),中航电测仪器股份有限公司,2021/06/03,1,2,300114.0,内地企业,CMC
360 Security Technology Inc. (Qihoo 360),三六零安全科技股份有限公司,2022/10/05,2,2,601360.0,内地企业,CMC
"Beijing Zhidao Chuangyu Information Technology Co., Ltd. (Knownsec)",北京知道创宇信息技术股份有限公司,2022/10/05,2,0,,内地企业,CMC
"BGI Genomics Co., Ltd. (BGI)",深圳华大基因股份有限公司,2022/10/05,1,2,300676.0,内地企业,CMC
China National Chemical Corporation Ltd. (ChemChina),中国化工集团有限公司,2022/10/05,1,0,,内地企业,CMC
China National Chemical Engineering Group Corporation (CNCEC),中国化学工程集团有限公司,2022/10/05,2,0,,内地企业,CMC
"CloudWalk Technology Co., Ltd. (CloudWalk)",云从科技集团股份有限公司,2022/10/05,1,2,688327.0,内地企业,CMC
CRRC Corporation Limited (CRRC),中国中车集团有限公司,2022/10/05,1,2,601766.0,内地企业,CMC
"Dawning Information Industry Co., Ltd. (Sugon)",曙光信息产业股份有限公司,2022/10/05,1,2,603019.0,内地企业,CMC
