英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
Aero Engine Corporation of China,中国航空发动机集团有限公司,2021/6/3,2,0,,内地企业,CMIC
"AEROSPACE COMMUNICATIONS HOLDINGS GROUP CO.,LTD",航天通信控股集团股份有限公司,2021/6/3,1,2,600677,内地企业,CMIC
"Aerospace CH UA V Co., Ltd",航天彩虹无人机股份有限公司,2021/6/3,1,2,002389,内地企业,CMIC
Aerosun Corporation,航天晨光股份有限公司,2021/6/3,1,2,600501,内地企业,CMIC
"ANHUI GREAT WALL MILITARY INDUSTRY CO., LTD",安徽长城军工股份有限公司,2021/6/3,1,2,601606,内地企业,CMIC
"Aviation Industry Corporation of China, Ltd. (AVIC)",中国航空工业集团有限公司,2021/6/3,2,0,,内地企业,CMIC
AVIC Xi'an Aircraft Industry Group Company Ltd.,中航西安飞机工业集团股份有限公司,2021/6/3,1,2,000768,内地企业,CMIC
AVIC Aviation High-Technology Company Limited,中航航空高科技股份有限公司,2021/6/3,1,2,600862,内地企业,CMIC
AVIC Heavy Machinery Company Limited,中航重机股份有限公司,2021/6/3,1,2,600765,内地企业,CMIC
"AVIC Jonhon Optronic Technology Co., Ltd.",中航光电科技股份有限公司,2021/6/3,1,2,002179,内地企业,CMIC
AVIC Shenyang Aircraft Company Limited,中航沈飞股份有限公司,2021/6/3,1,2,600760,内地企业,CMIC
Zhonghang Electronic Measuring Instruments Company Limited,中航电测仪器股份有限公司,2021/6/3,1,2,300114,内地企业,CMIC
"Inner Mongolia First Machinery Group Co., Ltd.",内蒙古第一机械集团有限公司,2021/6/3,1,1,600967,内地企业,CMIC
"North Navigation Control Technology Co.,Ltd.",北方导航控制技术股份有限公司,2021/6/3,1,2,600435,内地企业,CMIC
China Marine Information Electronics Company Limited,中国船舶重工集团海洋防务与信息对抗股份有限公司,2021/6/3,1,2,600764,内地企业,CMIC
"Changsha Jingjia Microelectronics Co.,Ltd.",长沙景嘉微电子股份有限公司,2021/6/3,2,2,300474,内地企业,CMIC
China Academy of Launch Vehicle Technology,中国运载火箭技术研究院,2021/6/3,.,.,,研究所,CMIC
China Aerospace Science and Industry Corporation (CASIC) ,中国航天科工集团有限公司,2021/6/3,2,0,,内地企业,CMIC
