英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
"Chinese Academy of
Engineering Physics",中国工程物理研究院,1997/6/30;2001/5/14;2010/12/17;2011/4/18;2011/8/15;2012/9/19;2020/6/5,.,.,,研究所,EL
"China Aerodynamics
Research and Development
Center",中国空气动力研究与发展中心,1999/5/28;2016/9/20,.,.,,研究所,EL
"Beijing Aerospace
Automatic Control Institute
(BICD)","北京航天自动控制研究所
（中国航天科工一院12所）","1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"Beijing Institute of Structure
and Environmental
Engineering",中国航天科工一院702所,"1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"China Aerospace Science
and Technology Corporation
(CASC) 8th Academy",中国航天科技集团公司第八研究院,"1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"Shanghai Institute of Space
Power Sources","上海空间电源研究所
（中国航天科工八院811所）","1999/5/28;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"Northwest Institute of
Nuclear Technology in the
Science Research",西北核技术研究所,1999/5/28;2010/12/17;2012/9/19,.,.,,研究所,EL
54th Research Institute of China,中国电子科技集团公司第五十四研究所,2001/5/14;2010/12/17;2012/9/19;2016/9/20,.,.,,研究所,EL
Baotou Guanghua Chemical Industrial Corporation (Parent Organization: China National Nuclear Group Corporation (CNNC)),中核北方核燃料元件有限公司,2001/5/14;2010/12/17;2016/9/20,1,0,,内地企业,EL
"China Aerospace Science
and Industry Corporation
(CASIC) 3rd Academy",中国航天科工集团第三研究院,2001/5/14;2010/12/17;2012/9/19;2019/8/14,.,.,,研究所,EL
"HiWING Mechanical &
Electrical Technology
Corporation",航天海鹰机电技术研究院有限公司,2001/5/14;2010/12/17;2012/9/19;2019/8/14,0,0,,内地企业,EL
"Beijing Xinghang
Electromechanical
Equipment Factory",北京星航机电装备有限公司,2001/5/14;2010/12/17;2012/9/19;2019/8/14,2,0,,内地企业,EL
"Beijing Hangxing Machinery
Manufacturing Corporation.,
Ltd",北京航星机器制造有限公司,2001/5/14;2010/12/17;2012/9/19;2019/8/14,2,0,,内地企业,EL
Beijing University of Aeronautics and Astronautics,"
北京航空航天大学",2001/5/14;2005/9/16;2010/12/17;2023/3/6,.,.,,高校,EL
"Beijing Power Machinery
Institute","北京动力机械研究所
（中国航天科工三院31所）",2001/5/14;2010/12/17;2012/9/19;2019/8/14,.,.,,研究所,EL
"Beijing Automation Control
Equipment Institute","北京自动化控制设备研究所
（中国航天科工三院33所）",2001/5/14;2010/12/17;2012/9/19;2019/8/14,.,.,,研究所,EL
"Huahang Institute of Radio
Measurement","北京华航无线电测量研究所 
（中国航天科工三院35所）","2001/5/14;2010/12/17;2012/9/19;
2016/9/20;2019/8/14",.,.,,研究所,EL
"China Aerospace Science
and Technology Corporation
(CASC) 1st Academy First Design Department",中国航天科技集团公司一院第一设计部,2001/5/14;2010/12/17;2012/9/19;2019/8/14,.,.,,研究所,EL
"Beijing Aerospace Times
Optical-Electronic
Technology Co., Ltd",北京航天时代光电科技有限公司,2001/5/14;2010/12/17;2012/9/19;2019/8/14,0,0,,内地企业,EL
"Northwestern Polytechnical
University",西北工业大学,2001/5/14;2010/12/17;2012/9/9;2016/9/20;2019/8/14;2022/10/13;2023/3/6,.,.,,高校,EL
Southwest Research Institute of Electronics Technology,西南电子技术研究院,2001/5/14;2010/12/17;2012/9/9;2016/9/20,.,.,,研究所,EL
"Xi'an Research Institute of
Navigation Technology",西安航海技术研究所,2001/5/14;2010/12/17;2012/9/9;2016/9/20,.,.,,研究所,EL
A.C. International,广州爱夏国际贸易有限公司,22/09/2008,0,0,,内地企业,EL
Asia International Trading Company,,22/09/2008,.,.,,港企,EL
"Kong Fat Electronic Trading
Limited",,2008/9/22;2020/12/23,.,.,,港企,EL
Y-Sing Components Limited,,22/09/2008,.,.,,港企,EL
Sysdynamic Limited.,,2009/7/21;2020/12/23,.,.,,港企,EL
Sik Yin Ngai,,2009/7/21;2020/12/23,.,.,,个人,EL
Siu Ching Ngai,,2009/7/21;2020/12/23,.,.,,个人,EL
Tam Shue Nga,,2009/7/21;2020/12/23,.,.,,个人,EL
"Centre Bright Electronics
Company Limited",,2010/1/13;2020/12/23,.,.,,港企,EL
"Chitron Electronics Company
Ltd",深圳市驰创电子有限公司,2010/1/13;2020/12/23,2,0,,内地企业,EL
"Exodus Microelectronics
Company Limited",,2010/1/13;2020/12/23,.,.,,港企,EL
"Victory Wave Holdings
Limited",,2010/1/13;2020/12/23,.,.,,港企,EL
