英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
China Precision Machinery Import-Export Corp.,中国精密机械进出口公司,2003/7/30,.,.,.,内地企业,ISN
Easy Fashion Metal Products Trade Co. [aka Easyfashion Industries],长沙利姿金属制品贸易有限公司,2018/4/30,0,0,.,内地企业,ISN
Shanghai Rotech Pharmaceutical Engineering Co.,上海罗氏制药有限公司,2018/4/30,1,0,.,内地企业,ISN
"Sunway Tech Co., Ltd.",北京山维科技股份有限公司,2018/4/30,2,2,836870,内地企业,ISN
Equipment Development Department of the Central Military Commission (EDD),中国共产党中央军事委员会装备发展部,2018/9/18,0,0,.,机关,ISN
"Abascience Tech Col, Ltd.",北京旭润科技有限公司,2019/5/14,0,0,.,内地企业,ISN
Hope Wish Technologies Inc.,和普威视光电股份有限公司,2019/5/14,2,2,872954,内地企业,ISN
"Jiangsu Tianyuan Metal Powder Co., Ltd.",江苏天元金属粉末有限公司,2019/5/14,0,0,.,内地企业,ISN
Shanghai North Begins,上海丙至国际贸易有限公司,2019/5/14,0,0,.,内地企业,ISN
Sun Creative Zhejiang Technologies Inc.,浙江兆晟科技股份有限公司,2019/5/14,2,2,833727,内地企业,ISN
Yenben Yansong Zaojiu Co. Ltd.,延边延松造酒有限公司,2019/5/14,.,.,.,内地企业,ISN
Baoding Shimaotong Enterprises Services Company Limited ,保定市世贸通企业服务有限公司,2020/2/3,1,0,.,内地企业,ISN
"Dandong Zhensheng Trade Co., Ltd. ",丹东真升商贸有限公司,2020/2/3,0,0,.,内地企业,ISN
Shenzhen Tojoin Communications Technology Co. Ltd,深圳市中冀联合技术股份有限公司,2020/2/3,1,2,831994,内地企业,ISN
"Shenzhen Xiangu High-Tech Co., Ltd ",深圳市纤谷科技有限公司,2020/2/3,.,.,.,内地企业,ISN
Tungsten Online (Xiamen) Manu and Sales Corp. ,厦门中钨在线科技有限公司,2020/9/23,0,0,.,内地企业,ISN
"Ningbo Vet Energy Technology Co., Ltd.",宁波威泰能源科技有限公司,2021/1/13,0,0,.,内地企业,ISN
"Ningbo Zhongjun International Trade Co., Ltd. (NBZJ) ",宁波中骏国际贸易有限公司,2021/1/13,2,0,.,内地企业,ISN
" China Aerospace Science and Technology Corporation (CASC) First Academy, and its sub units and successors",中国航天科技集团有限公司第一研究院及其二级单位,2022/1/21,.,.,.,研究所,ISN
"China Aerospace Science and Industry Corporation (CASIC) Fourth Academy, and its sub units and successors","中国航天科工集团第四研究院及其二级单位
",2022/1/21,0,0,.,研究所,ISN
"Poly Technologies Incorporated (PTI), and its sub units and successors",保利科技有限公司,2022/1/21,1,0,.,内地企业,ISN
Zhengzhou Nanbei Instrument Equipment Co. Ltd ,郑州市南北检测服务有限公司,2022/3/14,0,0,.,内地企业,ISN
Beijing J&A Industry & Trade Co. Ltd.,北京京胜工贸有限公司,2022/10/3,.,.,.,内地企业,ISN
Sinobright Import and Export Company,深圳市远邦进出口有限公司,2023/7/19,0,0,.,内地企业,ISN
"Wisdom Import and Export (Shanghai) Co., Ltd. and any successor, sub-unit, or subsidiary thereof",集智进出口（上海）有限公司,2023/7/19,0,0,.,内地企业,ISN
Tianjin Creative Source International Trade Co Ltd,,2024/4/19,.,.,.,内地企业,ISN
Xi'an Longde Technology Development Company Limited,,2024/4/19,.,.,.,内地企业,ISN
Shanghai Growth International Logistics Ltd ,上海进长国际物流有限公司,2024/5/20,2,0,.,内地企业,ISN
"Yidatong (Tianjin) Metal Materials Co., Ltd",意达通（天津）金属材料有限公司,2024/5/20,0,0,.,内地企业,ISN
Han Dejian,,2024/5/20,.,.,.,个人,ISN
Hubei Huachangda Intelligent Equipment Company,湖北华昌达智能装备股份有限公司,2024/9/12,.,.,.,内地企业,ISN
Universal Enterprise Limited,,2024/9/12,.,.,.,港企,ISN
Luo Dongmei,,2024/9/12,.,.,.,个人,ISN
Dandong Mason-Age Trade Co Ltd.,,2024/11/20,.,.,.,内地企业,ISN
Gaobeidian Kaituo Precise Instrument Co. Ltd ,保定开拓精密仪器制造有限责任公司,2020/09/23;2020/02/03,1,0,.,内地企业,ISN
Raybeam Optronics Co. Ltd. ,,2020/09/23;2018/04/30;2019/05/14,.,.,.,港企,ISN
"Wuhan Sanjiang Import and Export Co., Ltd  ",武汉三江进出口有限公司,2020/02/03;2019/05/14,1,0,.,内地企业,ISN
"T-Rubber Co., Ltd.",三橡股份有限公司,2019/05/14;2018/04/30,0,0,.,内地企业,ISN
Sinotech (Dalian) Carbon and Graphite Corp. (SCGC),大连中创炭素有限公司,2019/05/14;2018/04/30,.,.,.,内地企业,ISN
