英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
"Baoding LYSZD Trade and Business Co., Ltd.",保定市绿叶硕子岛商贸有限公司,2022/6/21,0,0,,内地企业,UFLPA
Hefei Bitland Information Technology Co. Ltd.,合肥宝龙达信息技术有限公司,2022/6/21,1,2,,内地企业,UFLPA
"Hefei Bitland Information Technology Co., Ltd. (including three aliases: Anhui Hefei Baolongda Information Technology; Hefei Baolongda Information Technology Co., Ltd.; and Hefei Bitland Optoelectronic Technology Co., Ltd.)",合肥宝龙达信息技术有限公司,2022/6/21,1,2,,内地企业,UFLPA
Hetian Haolin Hair Accessories Co. Ltd.,和田浩林发饰品有限公司,2022/6/21,0,0,,内地企业,UFLPA
Hetian Haolin Hair Accessories Co. Ltd. (and two aliases: Hotan Haolin Hair Accessories; and Hollin Hair Accessories),和田浩林发饰品有限公司,2022/6/21,0,0,,内地企业,UFLPA
"Hetian Taida Apparel Co., Ltd (and one alias: Hetian TEDA Garment)",和田泰达商贸有限公司,2022/6/21,0,0,,内地企业,UFLPA
"Hetian Taida Apparel Co., Ltd.",和田泰达商贸有限公司,2022/6/21,0,0,,内地企业,UFLPA
"Hoshine Silicon Industry (Shanshan) Co., Ltd (including one alias: Hesheng Silicon Industry (Shanshan) Co.) and subsidiaries",合盛硅业（鄯善）有限公司,2022/6/21,1,1,603260,内地企业,UFLPA
"Hoshine Silicon Industry (Shanshan) Co., Ltd., and Subsidiaries",合盛硅业（鄯善）有限公司,2022/6/21,1,1,603260,内地企业,UFLPA
KTK Group (including three aliases: Jiangsu Jinchuang Group; Jiangsu Jinchuang Holding Group; and KTK Holding),今创集团股份有限公司,2022/6/21,2,2,603680,内地企业,UFLPA
Lop County Hair Product Industrial Park,洛浦县发制品产业园,2022/6/21,.,.,,研究所,UFLPA
"Lop County Meixin Hair Products Co., Ltd.",洛浦县美馨发制品有限公司,2022/6/21,2,0,,内地企业,UFLPA
"Nanjing Synergy Textiles Co., Ltd. (including two aliases: Nanjing Xinyi Cotton Textile Printing and Dyeing; and Nanjing Xinyi Cotton Textile)",南京新一棉纺织印染有限公司,2022/6/21,1,0,,内地企业,UFLPA
No. 4 Vocation Skills Education Training Center (VSETC),第四职业技能教育培训中心（VSETC）,2022/6/21,.,.,,研究所,UFLPA
Tanyuan Technology Co. Ltd. (including five aliases: Carbon Yuan Technology; Changzhou Carbon Yuan Technology Development; Carbon Element Technology; Jiangsu Carbon Element Technology; and Tanyuan Technology Development),碳元科技股份有限公司,2022/6/21,2,2,603133,内地企业,UFLPA
"Xinjiang Daqo New Energy, Co. Ltd (including three aliases: Xinjiang Great New Energy Co., Ltd.; Xinjiang Daxin Energy Co., Ltd.; and Xinjiang Daqin Energy Co., Ltd.)",新疆大全新能源股份有限公司,2022/6/21,1,2,688303,内地企业,UFLPA
"Xinjiang GCL New Energy Material Technology, Co. Ltd (including one alias: Xinjiang GCL New Energy Materials Technology Co.)",新疆戈恩斯能源科技有限公司,2022/6/21,1,0,,内地企业,UFLPA
"Xinjiang Junggar Cotton and Linen Co., Ltd.",新疆准噶尔棉麻有限公司,2022/6/21,1,0,,内地企业,UFLPA
Xinjiang Production and Construction Corps (including three aliases: XPCC; Xinjiang Corps; and Bingtuan) and its subordinate and affiliated entities,新疆生产建设兵团及其下属实体,2022/6/21,.,.,,内地企业,UFLPA
Xinjiang Production and Construction Corps (XPCC) and its subordinate and affiliated entities,新疆生产建设兵团及其下属实体,2022/6/21,.,.,,内地企业,UFLPA
"Yili Zhuowan Garment Manufacturing Co., Ltd.",伊犁卓万服饰制造有限公司,2022/6/21,2,0,,内地企业,UFLPA
"Geehy Semiconductor Co., Ltd.",珠海极海半导体有限公司,2023/6/12,1,0,,内地企业,UFLPA
Ninestar Corporation,纳思达股份有限公司,2023/6/12,1,2,002180,内地企业,UFLPA
Xinjiang Zhongtai Chemical Co. Ltd.,新疆中泰化学股份有限公司,2023/6/12,1,2,002092,内地企业,UFLPA
"Zhuhai Apex Microelectronics Co., Ltd.",极海微电子股份有限公司,2023/6/12,.,.,,内地企业,UFLPA
"Zhuhai G&G Digital Technology Co., Ltd.",珠海格之格数码科技有限公司,2023/6/12,1,0,,内地企业,UFLPA
Zhuhai Ninestar Information Technology Co. Ltd.,珠海纳思达信息技术有限公司,2023/6/12,.,.,,内地企业,UFLPA
"Zhuhai Ninestar Management Co., Ltd.",珠海纳思达企业管理有限公司,2023/6/12,1,1,002180,内地企业,UFLPA
Zhuhai Pantum Electronics Co. Ltd.,珠海奔图电子有限公司,2023/6/12,1,1,002180,内地企业,UFLPA
