英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
China National Plant Import/Export Co.,中国成套设备进出口集团有限公司,2014/06/16,2,0,,内地企业,UVL
"Narpel Technology Co., Limited",,2014/06/16;2015/01/29;2015/10/07,.,.,,港企,UVL
Powersun Electronics,,2014/06/16;2015/01/29,.,.,,港企,UVL
Brilliance Technology Ltd,,2014/06/16;2017/04/06,.,.,,港企,UVL
ZDAS (HK) Company,,2014/06/16,.,.,,港企,UVL
Yashen (HK) Electronics,,2014/06/16,.,.,,港企,UVL
ZhongJie Electronics,,2014/06/16,.,.,,港企,UVL
Maipu Communication Technology Co Ltd,,2014/06/16,.,.,,港企,UVL
Lion Chip Electronics Ltd,,2014/06/16,.,.,,港企,UVL
Lianqi (HK) Electronics Co Ltd,,2014/06/16,.,.,,港企,UVL
Hong Kong Haimao Info-Tec Development Co Ltd,,2014/06/16,.,.,,港企,UVL
Nano Tech International Co Ltd,,2014/06/16,.,.,,港企,UVL
Daystar Electric (HK) Ltd.,,2015/01/29,.,.,,港企,UVL
Hongbo Industrial Technology,,2015/01/29,.,.,,港企,UVL
Suke Logistics Ltd.,,2015/01/29,.,.,,港企,UVL
Ling Ao Electronic Technology Co. Ltd,,2015/01/29;2015/10/07;2017/04/06;2018/05/17;2019/04/11,.,.,,港企,UVL
E-Chips Technology,,2015/01/29;2015/10/07,.,.,,港企,UVL
Yogone Electronics Co.,,2015/10/07,.,.,,港企,UVL
Yield Best International,,2016/06/21,.,.,,港企,UVL
Winthought Company Ltd.,,2016/06/21,.,.,,港企,UVL
Toptech Electronics Ltd.,,2016/06/21,.,.,,港企,UVL
Sur-Link Technology (HK) Ltd.,,2016/06/21,.,.,,港企,UVL
Sun Wing Ltd.,,2016/06/21,.,.,,港企,UVL
Selective Components Ltd.,,2016/06/21,.,.,,港企,UVL
Scitech International Express Co. Limited,,2016/06/21,.,.,,港企,UVL
"Jin Yan Technology & Development Co., Ltd.",,2016/06/21,.,.,,港企,UVL
"Master-Uni Industry Co., Ltd.",,2016/06/21,.,.,,港企,UVL
KingV Ltd.,,2016/06/21,.,.,,港企,UVL
Boqur International Ltd.,,2016/06/21,.,.,,港企,UVL
Hong Kong Engy Technology Co.,,2016/06/21,.,.,,港企,UVL
"Haofeng Industrial Co., Ltd.",,2016/06/21,.,.,,港企,UVL
Globe Communication (HK) Ltd.,,2016/06/21,.,.,,港企,UVL
Carry Goldstar Ltd.,,2016/06/21,.,.,,港企,UVL
Central Right Investments Ltd.,,2016/06/21,.,.,,港企,UVL
Phonai Electronics Ltd.,,2016/06/21,.,.,,港企,UVL
"Fussion Electronics Co., Ltd.",,2016/06/21,.,.,,港企,UVL
"CST Source Industrial Co., Ltd.",,2016/06/21,.,.,,港企,UVL
Shenzhen Winthought Tech,深圳市汇能时代科技有限公司,2017/04/06,0,0,,内地企业,UVL
"ARI International, Ltd.",,2017/04/06,.,.,,港企,UVL
"Jiangsu HNHB Equipment Co., Ltd.",江苏汉能环保有限公司,2017/04/06,0,0,,内地企业,UVL
Xinjiang East Hope New Energy Company Ltd,新疆东方希望新能源有限公司,2018/05/17,1,0,,内地企业,UVL
Yantai Salvage Bureau,,2018/05/17,.,.,,机关,UVL
Sino Superconductor Technology Company,上海超导科技股份有限公司,2018/05/17,2,0,,内地企业,UVL
Changhe Aircraft Industries Group,昌河飞机工业（集团）有限责任公司,2018/05/17,1,0,,内地企业,UVL
Nanchang University,,2018/05/17,.,.,,高校,UVL
Liupanshui Normal University,,2018/05/17,.,.,,高校,UVL
"Jiujiang Jinxin Nonferrous Metals Co., Ltd.",九江市金鑫有色金属有限公司,2018/05/17,0,0,,内地企业,UVL
Jiangxi Hongdu Aviation Ind. Group,江西洪都航空工业集团有限责任公司,2018/05/17,1,0,,内地企业,UVL
"Institute of Geology, Chinese Academy of Geological Sciences",,2018/05/17,.,.,,研究所,UVL
Dandong Center for Food Control,,2018/05/17,.,0,,研究所,UVL
"Shanxi Hemu Industrial Co., Ltd.",陕西合木实业有限公司,2018/05/17,0,0,,内地企业,UVL
"Xi'an Caijing Opto-Electronics, Science & Technology Co., Ltd",西安彩晶光电科技股份有限公司,2019/04/11,1,1,2669.0,内地企业,UVL
Xi'an Micromach Photon Manufacture Technology,西安中科微精光子科技股份有限公司,2019/04/11,2,0,,内地企业,UVL
"Xi'an Jiaotong University, School of Electrical Engineering",,2019/04/11,.,.,,高校,UVL
Xi'an Jiaotong University,,2019/04/11,.,.,,高校,UVL
"Yunnan Observatories, Chinese Academy of Sciences (CAS)",中国科学院云南天文台,2019/04/11,.,.,,研究所,UVL
Zhejiang Xizi Aviation,浙江西子航空工业集团有限公司,2019/04/11,1,0,,内地企业,UVL
Zhongshan Thincloud Optics Co. Ltd.,中山云想光学有限公司,2019/04/11,0,0,,内地企业,UVL
Zolix Instruments Co.,北京卓立汉光仪器有限公司,2019/04/11,1,1,300667.0,内地企业,UVL
Changchun Institute of Applied Chemistry,,2019/04/11,.,.,,研究所,UVL
Able Supply Chain Limited,,2019/04/11,.,.,,港企,UVL
Shanghai Institute of Applied Physics,,2019/04/11,.,.,,研究所,UVL
Shanghai Institute of Technical Physics,,2019/04/11,.,.,,研究所,UVL
"Boson Technology Co., Limited.",,2019/04/11,.,.,,港企,UVL
HK Hengyu Storage Logistics Limited,,2019/04/11,.,.,,港企,UVL
Rising Logistics Company Limited,,2019/04/11,.,.,,港企,UVL
Swelatel Technology Limited,,2019/04/11,.,.,,港企,UVL
Universe Market Limited,,2019/04/11,.,.,,港企,UVL
Beijing Institute of Nanoenergy and Nanosystems,,2019/04/11;2019/06/27,.,.,,研究所,UVL
Xiamen Sanan Optoelectronics,厦门市三安光电科技有限公司,2019/04/11,1,1,600703.0,内地企业,UVL
Hefei Institutes of Physical Science,,2019/04/11,.,.,,研究所,UVL
Wuxi Hengling Technology Co. Ltd.,无锡恒领科技有限公司,2019/04/11,0,0,,内地企业,UVL
Hubei Flying Optical,湖北飞菱光纤材料有限公司,2019/04/11,1,1,601869.0,内地企业,UVL
Wuhan Yifi Laser Equipment Co.,武汉逸飞激光股份有限公司,2019/04/11,2,2,688646.0,内地企业,UVL
Beijing Institute of Nanoenergy and Technology,,2019/04/11,.,.,,研究所,UVL
Wuxi Beetech Inc.,无锡必创传感科技有限公司,2019/04/11,1,1,300667.0,内地企业,UVL
"Beijing Bayi Space LCD Materials Technology Co., Ltd",北京八亿时空液晶科技股份有限公司,2019/04/11,2,2,688181.0,内地企业,UVL
Anhui Institute of Metrology,,2019/04/11,.,.,,研究所,UVL
Changchun National Extreme Precision Optics Co Ltd,长春国科精密光学技术有限公司,2019/04/11,1,0,,内地企业,UVL
Chengde Oscillator Electronic Technology Co.,承德奥斯力特电子科技有限公司,2019/04/11,1,0,,内地企业,UVL
Guangdong University of Technology,,2019/04/11,.,.,,高校,UVL
Gucheng Xian Fengxin Titanium Alloy,故城县锋鑫钛合金制品有限公司,2019/04/11,0,0,,内地企业,UVL
"Hefei Institutes of Physical Science, Chinese Academy of Sciences",,2019/04/11,.,.,,研究所,UVL
Huaduan (Anhui) Machine Tool Manufacturer Co.,华锻（安徽）机床制造有限公司,2019/04/11,0,0,,内地企业,UVL
Aisin Nantong Technical Center,,2019/04/11,.,.,,研究所,UVL
Luoyang Weimi Optics,洛阳微米光电技术有限公司,2019/04/11,0,0,,内地企业,UVL
"Ningbo Zhongxian Optoelectronic Technology Co, Ltd.",宁波众芯半导体有限公司,2019/04/11,0,0,,内地企业,UVL
Renmin University,,2019/04/11,.,.,,高校,UVL
Shaanxi Hongyuan Aviation Forging,陕西宏远航空锻造有限责任公司,2019/04/11,1,1,600765.0,内地企业,UVL
"Shanghai Institute of Applied Physics, Chinese Academy of Sciences",,2019/04/11,.,.,,研究所,UVL
"Shanghai Institute of Technical Physics, Chinese Academy of Sciences",,2019/04/11,.,.,,研究所,UVL
Shanghai SKEQI Automation Engineering Co.,上海思客琦智能装备科技股份有限公司,2019/04/11,2,0,,内地企业,UVL
Shi Jia Zhuang Suin Instruments,石家庄数英仪器有限公司,2019/04/11,2,0,,内地企业,UVL
Sunder Tools (Changxing) Technology,松德刀具（长兴）科技有限公司,2019/04/11,1,0,,内地企业,UVL
Termei Torch & Tip Company,常州特尔玛科技股份有限公司,2019/04/11,.,.,,港企,UVL
Tongji University,,2019/04/11,.,.,,高校,UVL
TRI Microsystems,,2019/04/11,.,.,,港企,UVL
Center for High Pressure Science and Technology Advanced Research,,2019/04/11,.,.,,研究所,UVL
"Changchun Institute of Applied Chemistry, Chinese Academy of Sciences",,2019/04/11,.,.,,研究所,UVL
Fortune International Trading,,2020/10/09,.,.,,港企,UVL
Xiang Cheng Gao Trading (HK) Ltd.,,2020/10/09,.,.,,港企,UVL
Kenwoo International Trade Company,,2020/10/09,.,.,,港企,UVL
Emax Technology Co. Ltd. HK,,2020/10/09,.,.,,港企,UVL
AW Industrial Ltd.,,2020/10/09,.,.,,港企,UVL
Sun Yat-Sen University,,2020/10/09,.,.,,高校,UVL
Shuang Xiang (Fujian) Electronics,双翔（福建）电子有限公司,2022/02/08,.,.,,内地企业,UVL
Southern University of Science and Technology,南方科技大学,2022/02/08,.,.,,高校,UVL
"Suzhou Chaowei Jingna Optoelectric Co., Ltd.",苏州超微精纳光电有限公司,2022/02/08,.,.,,内地企业,UVL
"Suzhou Gyz Electronic Technology Co., Ltd.",苏州昀冢电子科技股份有限公司,2022/02/08,.,.,,内地企业,UVL
"Suzhou Lylap Mould Technology Co., Ltd.",苏州亮宇模具科技有限公司,2022/02/08,.,.,,内地企业,UVL
"Wuxi Turbine Blade Co., Ltd.",无锡透平叶片有限公司,2022/02/08,.,.,,内地企业,UVL
"Wuxi Biologics (Shanghai) Co., Ltd.",上海药明生物技术有限公司,2022/02/08,.,.,,内地企业,UVL
"Yunnan Tianhe Optoelectronic Co., Ltd.",云南天合立光电技术有限公司,2022/02/08,.,.,,内地企业,UVL
Zhengzhou Baiwai Intelligent Automation,郑州百维智能自动化设备有限公司,2022/02/08,.,.,,内地企业,UVL
Zhuzhou CRRC Special Equipment Technology Co.,株洲中车特种装备科技有限公司,2022/02/08,.,.,,内地企业,UVL
"Shanghai Micro Electronics Equipment (Group) Co., Ltd.",上海微电子装备（集团）股份有限公司,2022/02/08,.,.,,内地企业,UVL
"Wuxi Biologics Co., Ltd.",无锡药明生物技术股份有限公司,2022/02/08,.,.,,内地企业,UVL
"Shanghai Fansheng Optoelectronic Science & Technology Co., Ltd.",上海帆晟光电科技有限公司,2022/02/08,.,.,,内地企业,UVL
Harbin Xinguang Feitian,哈尔滨新光飞天光电科技有限公司,2022/02/08,.,.,,内地企业,UVL
