日期,武器/服务,金额(百万美元),来源,官方URL
2020-05-20,18 Mk-48 Mod6 AT torpedoes,180,FR(CN 20-07),https://www.federalregister.gov/documents/2020/07/17/2020-15497/arms-sales-notification
2020-07-09,PAC-3 missile recertification,620,FR(CN 20-24),https://www.federalregister.gov/documents/2020/08/26/2020-18784/arms-sales-notification
2020-10-22,MS-110 recon pods,367,FR(CN 20-75),https://www.federalregister.gov/documents/2020/12/17/2020-27732/arms-sales-notification
2020-10-22,AGM-84H SLAM-ER missiles,1008,FR(CN 20-69),https://www.federalregister.gov/documents/2020/12/11/2020-27298/arms-sales-notification
2020-10-22,HIMARS + ATACMS,436,FR(CN 20-77),https://www.federalregister.gov/documents/2020/12/17/2020-27716/arms-sales-notification
2020-10-26,Harpoon Coastal Defense,2370,FR(CN 20-68),https://www.federalregister.gov/documents/2020/12/11/2020-27292/arms-sales-notification
2020-11-03,MQ-9B drones,600,FR(CN 20-74),https://www.federalregister.gov/documents/2020/12/17/2020-27709/arms-sales-notification
2020-12-07,FICS communications,280,FR(CN 20-87),https://www.federalregister.gov/documents/2020/12/22/2020-28201/arms-sales-notification
2021-08-04,M109A6 Paladin howitzers,750,FR(CN 21-44),https://www.federalregister.gov/documents/2023/03/22/2023-05825/arms-sales-notification
2022-02-07,Patriot engineering services,100,FR(CN 21-66),https://www.federalregister.gov/documents/2023/09/27/2023-21054/arms-sales-notification
2022-04-05,Patriot contractor tech assist,95,FR+DSCA Library(CN 22-16),https://www.federalregister.gov/documents/2024/05/16/2024-10607/arms-sales-notification
2022-06-08,Ship spare parts,120,FR(CN 22-22),https://www.federalregister.gov/documents/2024/05/24/2024-11526/arms-sales-notification
2022-07-15,Contractor tech assist support,108,FR(CN 22-31),https://www.federalregister.gov/documents/2024/06/06/2024-12390/arms-sales-notification
2022-09-02,Surveillance Radar CLS,665,FR(CN 22-44),https://www.federalregister.gov/documents/2024/06/28/2024-14188/arms-sales-notification
2022-09-02,Harpoon Block II missiles,355,FR(CN 22-45),https://www.federalregister.gov/documents/2024/08/02/2024-17042/arms-sales-notification
2022-09-02,AIM-9X Sidewinder missiles,86,FR(CN 22-46),https://www.federalregister.gov/documents/2024/08/02/2024-17044/arms-sales-notification
2022-12-06,Aircraft standard spare parts,330,FR(CN 22-55),https://www.federalregister.gov/documents/2024/08/21/2024-18761/arms-sales-notification
2022-12-06,Aircraft non-standard spares,98,FR(CN 22-56),https://www.federalregister.gov/documents/2024/08/21/2024-18760/arms-sales-notification
2022-12-28,Volcano anti-tank munitions,180,FR(CN 22-70),https://www.federalregister.gov/documents/2024/08/26/2024-19128/arms-sales-notification
2023-03-01,HARM + AMRAAM missiles,619,FR(CN 23-09),https://www.federalregister.gov/documents/2024/09/12/2024-20732/arms-sales-notification
2023-06-29,Vehicle/weapon spare parts,108,FR(CN 23-38),https://www.federalregister.gov/documents/2024/10/11/2024-23551/arms-sales-notification
2023-06-29,30mm ammunition for CM-32,332,FR(CN 23-44),https://www.federalregister.gov/documents/2024/10/11/2024-23553/arms-sales-notification
2023-08-23,F-16 IRST system,500,FR(CN 23-25),https://www.federalregister.gov/documents/2024/10/29/2024-25113/arms-sales-notification
2023-12-15,C4 Life Cycle Support,300,FR(CN 23-82),https://www.federalregister.gov/documents/2024/12/19/2024-30308/arms-sales-notification
2024-02-21,Tactical Data Link upgrade,75,FR(CN 24-09),https://www.federalregister.gov/documents/2025/01/08/2025-00154/arms-sales-notification
2024-06-05,F-16 spare/repair parts,300,FR(CN 24-41+24-42),https://www.federalregister.gov/documents/2025/09/30/2025-19042/arms-sales-notification
2024-06-18,Switchblade 300,60,FR(CN 24-47),https://www.federalregister.gov/documents/2025/09/30/2025-19044/arms-sales-notification
2024-06-18,ALTIUS 600M-V UAVs,300,FR(CN 24-56),https://www.federalregister.gov/documents/2025/11/18/2025-20078/arms-sales-notification
2024-09-16,Aircraft spare parts,228,FR(CN 24-81),https://www.federalregister.gov/documents/2025/11/21/2025-20512/arms-sales-notification
2024-10-25,NASAMS air defense,1160,FR(CN 24-48),https://www.federalregister.gov/documents/2025/12/15/2025-22709/arms-sales-notification
2024-10-25,AN/TPS-77/78 radar,828,FR(CN 24-57),https://www.federalregister.gov/documents/2025/12/15/2025-22712/arms-sales-notification
2024-12-20,MK 75 76mm gun mounts,30,FR+DSCA(CN 25-01),https://www.federalregister.gov/documents/2026/01/12/2026-00361/arms-sales-notification
2024-12-20,C4 Modernization MIDS JTRS,265,FR+DSCA(CN 25-04),https://www.federalregister.gov/documents/2026/01/12/2026-00367/arms-sales-notification
2025-11-13,Non-standard spares F-16/C-130/IDF,330,DSCA官网(CN 25-73),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-49
2025-12-17,ALTIUS-700M + ALTIUS-600,1100,DSCA官网(CN 26-09),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-57
2025-12-17,Harpoon repair follow-on,91,DSCA官网(CN 26-07),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-55
2025-12-17,Javelin missiles,375,DSCA官网(CN 26-06),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-54
2025-12-17,TOW missile system,353,DSCA官网(CN 26-05),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-53
2025-12-17,HIMARS + ATACMS + GMLRS,4050,DSCA官网(CN 26-01),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-50
2025-12-17,M109A7 howitzers,4030,DSCA官网(CN 26-03),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-51
2025-12-17,AH-1W helo spare parts,96,DSCA官网(CN 25-93),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-52
2025-12-17,Tactical Mission Network,1010,DSCA官网(CN 25-56),https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-56
