英文名称,中文名称,制裁日期,是否母公司,是否上市,股票代码,备注,所在清单
HUAXIN SHIPPING HONGKONG LTD,,1018/10/04;2018/02/23;2020/05/13,,,,港企,SDN
Chinese Academy of Engineering Physics,中国工程物理研究院,1997/06/30;2001/05/14;2010/12/17;2011/04/18;2011/08/15;2012/09/19;2020/06/05,,,,研究所,EL
Beijing Aerospace Automatic Control Institute (BICD),"北京航天自动控制研究所
（中国航天科工一院12所）",1999/05/28;2010/12/17;2012/09/19;2016/09/20;2019/08/14,,,,研究所,EL
Beijing Institute of Structure and Environmental Engineering,中国航天科工一院702所,1999/05/28;2010/12/17;2012/09/19;2016/09/20;2019/08/14,,,,研究所,EL
China Aerodynamics Research and Development Center,中国空气动力研究与发展中心,1999/05/28;2016/09/20,,,,研究所,EL
China Aerospace Science and Technology Corporation (CASC) 1st Academy 12 Research Institute,,1999/05/28,,,,研究所,EL
China Aerospace Science and Technology Corporation (CASC) 8th Academy,中国航天科技集团公司第八研究院,1999/05/28;2010/12/17;2012/09/19;2016/09/20;2019/08/14,,,,研究所,EL
Northwest Institute of Nuclear Technology in the Science Research,西北核技术研究所,1999/05/28;2010/12/17;2012/09/19,,,,研究所,EL
Shanghai Institute of Space Power Sources,"上海空间电源研究所
（中国航天科工八院811所）",1999/05/28;2010/12/17;2012/09/19;2016/09/20;2019/08/14,,,,研究所,EL
54th Research Institute of China,中国电子科技集团公司第五十四研究所,2001/05/14;2010/12/17;2012/09/19;2016/09/20,,,,研究所,EL
Baotou Guanghua Chemical Industrial Corporation (Parent Organization: China National Nuclear Group Corporation (CNNC)),中核北方核燃料元件有限公司,2001/05/14;2010/12/17;2016/09/20,1,0,,内地企业,EL
"Beijing Aerospace Times Optical-Electronic Technology Co., Ltd",北京航天时代光电科技有限公司,2001/05/14;2010/12/17;2012/09/19;2019/08/14,0,0,,内地企业,EL
Beijing Automation Control Equipment Institute,"北京自动化控制设备研究所
（中国航天科工三院33所）",2001/05/14;2010/12/17;2012/09/19;2019/08/14,,,,研究所,EL
"Beijing Hangxing Machinery Manufacturing Corporation., Ltd",北京航星机器制造有限公司,2001/05/14;2010/12/17;2012/09/19;2019/08/14,2,0,,内地企业,EL
Beijing Power Machinery Institute,"北京动力机械研究所
（中国航天科工三院31所）",2001/05/14;2010/12/17;2012/09/19;2019/08/14,,,,研究所,EL
Beijing University of Aeronautics and Astronautics,北京航空航天大学,2001/05/14;2005/09/16;2010/12/17;2023/03/06,,,,高校,EL
Beijing Xinghang Electromechanical Equipment Factory,北京星航机电装备有限公司,2001/05/14;2010/12/17;2012/09/19;2019/08/14,2,0,,内地企业,EL
China Aerospace Science and Industry Corporation (CASIC) 3rd Academy,中国航天科工集团第三研究院,2001/05/14;2010/12/17;2012/09/19;2019/08/14,,,,研究所,EL
China Aerospace Science and Technology Corporation (CASC) 1st Academy 702 Research Institute,,2001/05/14,,,,研究所,EL
