清单名称,列入日期,批次,英文名,中文名,性质,列入原因,当前状态,备注,source
商务部不可靠实体清单,2023-02-16,#1,Lockheed Martin Corporation,洛克希德·马丁公司,企业,参与对台军售,有效,军工企业,https://dcj.mofcom.gov.cn/article/xwfb/xwfyrth/202302/20230203391508.shtml
商务部不可靠实体清单,2023-02-16,#1,Raytheon Missiles & Defense,雷神导弹与防务公司,企业,参与对台军售,有效,军工企业,https://dcj.mofcom.gov.cn/article/xwfb/xwfyrth/202302/20230203391508.shtml
商务部不可靠实体清单,2024-05-20,#2,General Atomics Aeronautical Systems (GA-ASI),通用原子航空系统公司,企业,参与对台军售,有效,军工企业,http://www.mofcom.gov.cn/zcfb/blgg/art/2024/art_35f833a9c68c4e309099e4903e41d4e4.html
商务部不可靠实体清单,2024-05-20,#2,General Dynamics Land Systems,通用动力陆地系统公司,企业,参与对台军售,有效,军工企业,http://www.mofcom.gov.cn/zcfb/blgg/art/2024/art_35f833a9c68c4e309099e4903e41d4e4.html
商务部不可靠实体清单,2024-05-20,#2,"Boeing Defense, Space & Security",波音防务、空间与安全公司,企业,参与对台军售,有效,军工企业,http://dcj.mofcom.gov.cn/article/zcfb/zcblgg/202405/20240503510684.shtml
商务部不可靠实体清单,2025-01-02,#3,General Dynamics Information Technology,通用动力信息技术公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,General Dynamics Mission Systems,通用动力任务系统公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,General Dynamics Ordnance and Tactical Systems,通用动力军械与战术系统公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,Lockheed Martin Advanced Technology Laboratories,洛克希德·马丁先进技术实验室,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,Lockheed Martin Aeronautics,洛克希德·马丁航空公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,Lockheed Martin Missiles and Fire Control,洛克希德·马丁导弹与火控公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,Lockheed Martin Missile System Integration Lab,洛克希德·马丁导弹系统集成实验室,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,Lockheed Martin Ventures,洛克希德·马丁风险投资公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,Raytheon/Lockheed Martin Javelin Joint Venture,标枪合资公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-02,#3,Raytheon Missile Systems,雷神导弹系统公司,企业,参与对台军售,有效,军工企业,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_c164b1339d694766938f75c1f83bddf8.html
商务部不可靠实体清单,2025-01-14,#4,Inter-Coastal Electronics,海岸间电子公司,企业,参与对台军售,有效,军工企业,http://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_2badfe3546d14a8b8894780bb02f1a74.html
